Sr,Existing Material Name /Description,Make,SKU,New Description,Brand,Category 1,Category 2,Category 3,Cost,HSN,GST,MOQ,UOM,Service,MPN
121,NTN-Bearing-NU 2234,NTN,BM9W9O3,"NTN Cylindrical Roller Bearing, Outer Dia 310 mm - NU2234",NTN,Cylindrical Roller Bearings,,,60274.137,8482,18%,,Each,,NU2234
122,NTN-Bearing-33112,NTN,BM9H6Z6,"NTN Tapered Roller Bearing, Bore 60 mm, Outer Dia 100 mm - 33112",NTN,Other Bearings,,,1475.958,8482,18%,,Each,,33112
123,V BELT B-74,Fenner,BM9I8N1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1920 mm - B74",Fenner,V-Belts,,,281.622,4010,18%,,NOS,,B74
124,V BELT B-72,Fenner,BM9U9Y6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1870 mm - B72",Fenner,V-Belts,,,273.207,4010,18%,,NOS,,B72
125,V BELT C-72,Fenner,BM9S3N6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1880 mm - C72",Fenner,V-Belts,,,410.091,4010,18%,,NOS,,C72
126,V BELT C-116,Fenner,BM9Y7W4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3000 mm - C116",Fenner,V-Belts,,,780.912,4010,18%,,NOS,,C116
127,V BELT C-114,Fenner,BM9O3O7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2950 mm - C114",Fenner,V-Belts,,,773.619,4010,18%,,NOS,,C114
128,V BELT B-75,Fenner,BM9D0T2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1950 mm - B75",Fenner,V-Belts,,,283.305,4010,18%,,NOS,,B75
129,V BELT C-175,Fenner,BM9Y8B2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 4500 mm - C175",Fenner,V-Belts,,,1031.679,4010,18%,,NOS,,C175
130,V BELT B-87,Fenner,BM9I0V8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2250 mm - B87",Fenner,V-Belts,,,356.235,4010,18%,,NOS,,B87
131,V BELT B-44,Fenner,BM9P7Z8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1160 mm - B44",Fenner,V-Belts,,,165.495,4010,18%,,NOS,,B44
132,V BELT B-54,Fenner,BM9X1R0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1410 mm - B54",Fenner,V-Belts,,,196.35,4010,18%,,NOS,,B54
133,V BELT B-76,Fenner,BM9G0Z9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1970 mm - B76",Fenner,V-Belts,,,284.427,4010,18%,,NOS,,B76
134,V BELT B-82,Fenner,BM9Q6L6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2130 mm - B82",Fenner,V-Belts,,,312.477,4010,18%,,NOS,,B82
135,V BELT B-95,Fenner,BM9D4A0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2460 mm - B95",Fenner,V-Belts,,,413.457,4010,18%,,NOS,,B95
136,V BELT C-102,Fenner,BM9S8Z6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2650 mm - C102",Fenner,V-Belts,,,671.517,4010,18%,,NOS,,C102
137,V BELT B-112,Fenner,BM9Z8Y9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2890 mm - B112",Fenner,V-Belts,,,490.875,4010,18%,,NOS,,B112
138,V BELT B-32,Fenner,BM9T0A1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 860 mm - B32",Fenner,V-Belts,,,145.299,4010,18%,,NOS,,B32
139,V BELT B-46,Fenner,BM9W6Q5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1210 mm - B46",Fenner,V-Belts,,,175.032,4010,18%,,NOS,,B46
140,V BELT A-39,Fenner,BM9X0S3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1020 mm - A39",Fenner,V-Belts,,,125.664,4010,18%,,NOS,,A39
141,V BELT A-40,Fenner,BM9J3P0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1050 mm - A40",Fenner,V-Belts,,,127.908,4010,18%,,NOS,,A40
142,V BELT C-98,Fenner,BM9T1S4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2550 mm - C98",Fenner,V-Belts,,,633.369,4010,18%,,NOS,,C98
143,V BELT C-100,Fenner,BM9G0V6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2600 mm - C100",Fenner,V-Belts,,,650.76,4010,18%,,NOS,,C100
144,V BELT C-150,Fenner,BM9Z0N4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3870 mm - C150",Fenner,V-Belts,,,952.578,4010,18%,,NOS,,C150
145,V BELT B 101,Fenner,BM9O0G8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2610 mm - B101",Fenner,V-Belts,,,437.019,4010,18%,,NOS,,B101
146,V BELT C-105,Fenner,BM9M0T9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2720 mm - C105",Fenner,V-Belts,,,698.445,4010,18%,,NOS,,C105
147,V BELT C-85,Fenner,BM9N3C0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2220 mm - C85",Fenner,V-Belts,,,486.948,4010,18%,,NOS,,C85
148,V BELT C-79,Fenner,BM9U0L4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2060 mm - C79",Fenner,V-Belts,,,447.117,4010,18%,,NOS,,C79
149,V BELT B-67,Fenner,BM9Y8T0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1740 mm - B67",Fenner,V-Belts,,,260.304,4010,18%,,NOS,,B67
150,V BELT B-63,Fenner,BM9P6P2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1640 mm - B63",Fenner,V-Belts,,,219.351,4010,18%,,NOS,,B63
151,V BELT C-66,Fenner,BM9T7S3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1730 mm - C66",Fenner,V-Belts,,,387.09,4010,18%,,NOS,,C66
152,V BELT B-98,Fenner,BM9J0T1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2530 mm - B98",Fenner,V-Belts,,,425.238,4010,18%,,NOS,,B98
153,V BELT C- 67,Fenner,BM9E3W8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1760 mm - C67",Fenner,V-Belts,,,390.456,4010,18%,,NOS,,C67
154,V BELT C-86,Fenner,BM9X4I4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2240 mm - C86",Fenner,V-Belts,,,494.241,4010,18%,,NOS,,C86
155,V BELT B-59,Fenner,BM9P6R5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1540 mm - B59",Fenner,V-Belts,,,210.936,4010,18%,,NOS,,B59
156,V BELT B-97,Fenner,BM9L2F1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2510 mm - B97",Fenner,V-Belts,,,421.872,4010,18%,,NOS,,B97
157,V BELT B-51,Fenner,BM9R1B5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1340 mm - B51",Fenner,V-Belts,,,189.618,4010,18%,,NOS,,B51
158,V BELT C-58,Fenner,BM9W4D0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1530 mm - C58",Fenner,V-Belts,,,321.453,4010,18%,,NOS,,C58
159,V BELT C-132,Fenner,BM9C4O4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3410 mm - C132",Fenner,V-Belts,,,186.813,4010,18%,,NOS,,C132
160,V BELT C-122,Fenner,BM9O5D6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3150 mm - C122",Fenner,V-Belts,,,793.254,4010,18%,,NOS,,C122
161,V BELT C-62,Fenner,BM9Y5X0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1630 mm - C62",Fenner,V-Belts,,,341.088,4010,18%,,NOS,,C62
162,V BELT B-40,Fenner,BM9B1N0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1060 mm - B40",Fenner,V-Belts,,,154.836,4010,18%,,NOS,,B40
163,V BELT C-136,Fenner,BM9E0I2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3510 mm - C136",Fenner,V-Belts,,,894.234,4010,18%,,NOS,,C136
164,V BELT B-120,Fenner,BM9P7I3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3090 mm - B120",Fenner,V-Belts,,,529.023,4010,18%,,NOS,,B120
165,V BELT B-85,Fenner,BM9S8J0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2200 mm - B85",Fenner,V-Belts,,,324.258,4010,18%,,NOS,,B85
166,V BELT C-145,Fenner,BM9H0I8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3740 mm - C145",Fenner,V-Belts,,,939.675,4010,18%,,NOS,,C145
167,V BELT B-60,Fenner,BM9O4L5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1570 mm - B60",Fenner,V-Belts,,,213.18,4010,18%,,NOS,,B60
168,V BELT B-61,Fenner,BM9T4L8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1590 mm - B61",Fenner,V-Belts,,,215.424,4010,18%,,NOS,,B61
169,V BELT B-62,Fenner,BM9R8D8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1620 mm - B62",Fenner,V-Belts,,,217.668,4010,18%,,NOS,,B62
170,V BELT B-65,Fenner,BM9T2F6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1690 mm - B65",Fenner,V-Belts,,,240.669,4010,18%,,NOS,,B65
171,V BELT A-48,Fenner,BM9X7D8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1250 mm - A48",Fenner,V-Belts,,,145.299,4010,18%,,NOS,,A48
172,V BELT C-140,Fenner,BM9D9O2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3610 mm - C140",Fenner,V-Belts,,,918.357,4010,18%,,NOS,,C140
173,V BELT C-104,Fenner,BM9R0M4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2700 mm - C104",Fenner,V-Belts,,,688.347,4010,18%,,NOS,,C104
174,V BELT A-35,Fenner,BM9K0V1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 920 mm - A35",Fenner,V-Belts,,,117.81,4010,18%,,NOS,,A35
175,V BELT C-142,Fenner,BM9V8N8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3660 mm - C142",Fenner,V-Belts,,,929.577,4010,18%,,NOS,,C142
176,V BELT B-68,Fenner,BM9O7H2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1770 mm - B68",Fenner,V-Belts,,,260.865,4010,18%,,NOS,,B68
177,V BELT B-83,Fenner,BM9M0R1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2150 mm - B83",Fenner,V-Belts,,,317.526,4010,18%,,NOS,,B83
178,V BELT B-69,Fenner,BM9I4N9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1800 mm - B69",Fenner,V-Belts,,,264.231,4010,18%,,NOS,,B69
179,V BELT B-104,Fenner,BM9X0D6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2680 mm - B104",Fenner,V-Belts,,,446.556,4010,18%,,NOS,,B104
180,V BELT C-134,Fenner,BM9Q4M9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3460 mm - C134",Fenner,V-Belts,,,877.404,4010,18%,,NOS,,C134
181,V BELT B-102,Fenner,BM9Z7G3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2630 mm - B102",Fenner,V-Belts,,,439.263,4010,18%,,NOS,,B102
182,V BELT C-77,Fenner,BM9X9L6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2010 mm - C77",Fenner,V-Belts,,,432.531,4010,18%,,NOS,,C77
183,V BELT C-60,Fenner,BM9K9I4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1580 mm - C60",Fenner,V-Belts,,,329.868,4010,18%,,NOS,,C60
184,V BELT C-118,Fenner,BM9H0R2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3050 mm - C118",Fenner,V-Belts,,,785.4,4010,18%,,NOS,,C118
185,V BELT C-115,Fenner,BM9A6I4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2980 mm - C115",Fenner,V-Belts,,,776.985,4010,18%,,NOS,,C115
186,V BELT B-36,Fenner,BM9I9W4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 960 mm - B36",Fenner,V-Belts,,,149.787,4010,18%,,NOS,,B36
187,V BELT B-66,Fenner,BM9Y0E4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1720 mm - B66",Fenner,V-Belts,,,256.938,4010,18%,,NOS,,B66
188,V BELT B-49,Fenner,BM9R3V4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1290 mm - B49",Fenner,V-Belts,,,182.325,4010,18%,,NOS,,B49
189,V BELT B-56,Fenner,BM9F5U0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1470 mm - B56",Fenner,V-Belts,,,204.204,4010,18%,,NOS,,B56
190,V BELT B-52,Fenner,BM9R1E6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1360 mm - B52",Fenner,V-Belts,,,191.301,4010,18%,,NOS,,B52
191,V BELT B-55,Fenner,BM9N2Y0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1440 mm - B55",Fenner,V-Belts,,,201.399,4010,18%,,NOS,,B55
192,V BELT A-31,Fenner,BM9A0V5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 820 mm - A31",Fenner,V-Belts,,,107.712,4010,18%,,NOS,,A31
193,V BELT C-172,Fenner,BM9Y5B2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 4420 mm - C172",Fenner,V-Belts,,,1011.483,4010,18%,,NOS,,C172
194,V BELT C-186,Fenner,BM9O3K6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 4780 mm - C186",Fenner,V-Belts,,,1096.194,4010,18%,,NOS,,C186
195,V BELT SPZ-1420,Fenner,BM9P0N2,"FENNER Poly-F Plus PB Wedge Belt, Pitch Length 1420 mm - SPZ1420",Fenner,V-Belts,,,172.788,4010,18%,,NOS,,SPZ1420
196,V BELT SPB-2240,Fenner,BM9L7O7,FENNER Wedge Belt - SPB2240,Fenner,V-Belts,,,504.9,4010,18%,,NOS,,SPB2240
197,V BELT C-87,Fenner,BM9N1W8Y,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2270 mm - C87",Fenner,V-Belts,,,500.973,4010,18%,,NOS,,C87
198,V BELT C-103,Fenner,BM9Y6I4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2670 mm - C103",Fenner,V-Belts,,,679.932,4010,18%,,NOS,,C103
199,V BELT B-70,Fenner,BM9T3N6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1820 mm - B70",Fenner,V-Belts,,,266.475,4010,18%,,NOS,,B70
200,V BELT C-148,Fenner,BM9G1Q5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3820 mm - C148",Fenner,V-Belts,,,946.407,4010,18%,,NOS,,C148
201,V BELT C-68,Fenner,BM9T7T9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1780 mm - C68",Fenner,V-Belts,,,392.139,4010,18%,,NOS,,C68
202,V BELT A-69,Fenner,BM9O1L9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1790 mm - A69",Fenner,V-Belts,,,201.399,4010,18%,,NOS,,A69
203,V BELT B-53,Fenner,BM9B1L7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1390 mm - B53",Fenner,V-Belts,,,194.106,4010,18%,,NOS,,B53
204,V BELT B-79,Fenner,BM9S8G5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2050 mm - B79",Fenner,V-Belts,,,293.964,4010,18%,,NOS,,B79
205,V BELT B-47,Fenner,BM9Z5I4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1240 mm - B47",Fenner,V-Belts,,,177.276,4010,18%,,NOS,,B47
206,V BELT B-90,Fenner,BM9H6Y5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2330 mm - B90",Fenner,V-Belts,,,369.138,4010,18%,,NOS,,B90
207,V BELT C-110,Fenner,BM9R4R7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2850 mm - C110",Fenner,V-Belts,,,741.642,4010,18%,,NOS,,C110
208,V BELT D 268,Fenner,BM9D1A0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 6890 mm - D268",Fenner,V-Belts,,,3239.775,4010,18%,,NOS,,D268
209,V BELT B-92,Fenner,BM9I7C1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2380 mm - B92",Fenner,V-Belts,,,395.505,4010,18%,,NOS,,B92
210,V BELT A-61,Fenner,BM9Y5E0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1580 mm - A61",Fenner,V-Belts,,,169.422,4010,18%,,NOS,,A61
211,V BELT D- 185,Fenner,BM9B0B8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 4780 mm - D185",Fenner,V-Belts,,,2092.53,4010,18%,,NOS,,D185
212,V BELT C -69,Fenner,BM9T7Q0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1810 mm - C69",Fenner,V-Belts,,,396.627,4010,18%,,NOS,,C69
213,V BELT C - 88,Fenner,BM9R0A4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2290 mm - C88",Fenner,V-Belts,,,512.754,4010,18%,,NOS,,C88
214,V BELT A-67,Fenner,BM9A0F8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1730 mm - A67",Fenner,V-Belts,,,199.716,4010,18%,,NOS,,A67
215,V BELT B-84,Fenner,BM9O1A4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2180 mm - B84",Fenner,V-Belts,,,319.77,4010,18%,,NOS,,B84
216,V BELT B-64,Fenner,BM9V5S3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1670 mm - B64",Fenner,V-Belts,,,221.595,4010,18%,,NOS,,B64
217,V BELT B-86,Fenner,BM9M9S0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2230 mm - B86",Fenner,V-Belts,,,350.625,4010,18%,,NOS,,B86
218,V BELT B-138,Fenner,BM9V7K6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3550 mm - B138",Fenner,V-Belts,,,599.148,4010,18%,,NOS,,B138
219,V BELT C-78,Fenner,BM9K2U4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2040 mm - C78",Fenner,V-Belts,,,438.702,4010,18%,,NOS,,C78
220,V BELT A-38,Fenner,BM9A1H6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1000 mm - A38",Fenner,V-Belts,,,123.42,4010,18%,,NOS,,A38
221,V BELT B-119,Fenner,BM9Q3I4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3070 mm - B119",Fenner,V-Belts,,,524.535,4010,18%,,NOS,,B119
222,V BELT SPZ-1700,Fenner,BM9H7I2,"FENNER Poly-F Plus PB Wedge Belt, Pitch Length 1700 mm - SPZ1700",Fenner,V-Belts,,,201.399,4010,18%,,NOS,,SPZ1700
223,V BELT C-80,Fenner,BM9X9O6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2090 mm - C80",Fenner,V-Belts,,,453.288,4010,18%,,NOS,,C80
224,V BELT B-48,Fenner,BM9L5T9,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1260 mm - B48",Fenner,V-Belts,,,180.642,4010,18%,,NOS,,B48
225,V BELT SPZ-1520,Fenner,BM9D0X8,"FENNER Poly-F Plus PB Wedge Belt, Pitch Length 1520 mm - SPZ1520",Fenner,V-Belts,,,182.886,4010,18%,,NOS,,SPZ1520
226,V BELT C-184,Fenner,BM9Y5O4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 4730 mm - C184",Fenner,V-Belts,,,1082.169,4010,18%,,NOS,,C184
227,V BELT C-81,Fenner,BM9N9O6,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2110 mm - C81",Fenner,V-Belts,,,469.557,4010,18%,,NOS,,C81
228,V BELT A-45,Fenner,BM9P7K7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1180 mm - A45",Fenner,V-Belts,,,138.006,4010,18%,,NOS,,A45
229,V BELT SPB-2500,Fenner,BM9T9A1,FENNER Wedge Belt - SPB2500,Fenner,V-Belts,,,561.561,4010,18%,,NOS,,SPB2500
230,V BELT D-238,Fenner,BM9W9T1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 6130 mm - D238",Fenner,V-Belts,,,2852.685,4010,18%,,NOS,,D238
231,V BELT D-102,Fenner,BM9K3V0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2670 mm - D102",Fenner,V-Belts,,,1203.906,4010,18%,,NOS,,D102
232,V BELT A-44,Fenner,BM9X4L2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1150 mm - A44",Fenner,V-Belts,,,136.884,4010,18%,,NOS,,A44
233,V BELT C -155,Fenner,BM9W0O4,"FENNER Poly F Plus PB Classical Belt, Pitch Length 3990 mm - C155",Fenner,V-Belts,,,969.408,4010,18%,,NOS,,C155
234,V BELT B-78,Fenner,BM9C8D0,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2020 mm - B78",Fenner,V-Belts,,,290.037,4010,18%,,NOS,,B78
235,V BELT A-64,Fenner,BM9T5N3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1660 mm - A64",Fenner,V-Belts,,,174.471,4010,18%,,NOS,,A64
236,V BELT A-32,Fenner,BM9B6O8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 850 mm - A32",Fenner,V-Belts,,,108.834,4010,18%,,NOS,,A32
237,V BELT C-73,Fenner,BM9E0L5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1910 mm - C73",Fenner,V-Belts,,,415.701,4010,18%,,NOS,,C73
238,V BELT A-82,Fenner,BM9L0Y2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2120 mm - A82",Fenner,V-Belts,,,234.498,4010,18%,,NOS,,A82
239,V BELT B-100,Fenner,BM9Z3E7,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2580 mm - B100",Fenner,V-Belts,,,429.726,4010,18%,,NOS,,B100
240,V BELT C-112,Fenner,BM9X4Q3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2900 mm - C112",Fenner,V-Belts,,,756.789,4010,18%,,NOS,,C112
241,V BELT B-71,Fenner,BM9L0M2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1850 mm - B71",Fenner,V-Belts,,,271.524,4010,18%,,NOS,,B71
242,V BELT B-45,Fenner,BM9I9G3,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1190 mm - B45",Fenner,V-Belts,,,166.617,4010,18%,,NOS,,B45
243,V BELT B-105,Fenner,BM9Q3X5,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2710 mm - B105",Fenner,V-Belts,,,453.288,4010,18%,,NOS,,B105
244,V BELT C-93,Fenner,BM9V5O8,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2420 mm - C93",Fenner,V-Belts,,,584.001,4010,18%,,NOS,,C93
245,V BELT B-91,Fenner,BM9G4F1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 2350 mm - B91",Fenner,V-Belts,,,391.578,4010,18%,,NOS,,B91
246,V BELT A-30,Fenner,BM9K8E2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 800 mm - A30",Fenner,V-Belts,,,100.419,4010,18%,,NOS,,A30
247,V BELT B-31,Fenner,BM9D2H1,"FENNER Poly F Plus PB Classical Belt, Pitch Length 830 mm - B31",Fenner,V-Belts,,,143.616,4010,18%,,NOS,,B31
248,V BELT SPZ-1787,Fenner,BM9O3F6,"FENNER Poly-F Plus PB Wedge Belt, Pitch Length 1787 mm - SPZ1787",Fenner,V-Belts,,,210.936,4010,18%,,NOS,,SPZ1787
249,V BELT A-21,Fenner,BM9R1L2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 570 mm - A21",Fenner,V-Belts,,,91.443,4010,18%,,NOS,,A21
250,V BELT SPZ-1500,Fenner,BM9S0O9,"Fenner Wedge Belt, Width 10 mm - SPZ1500",Fenner,V-Belts,,,182.325,4010,18%,,NOS,,SPZ1500
251,V BELT C-71,Fenner,BM9L4M2,"FENNER Poly F Plus PB Classical Belt, Pitch Length 1860 mm - C71",Fenner,V-Belts,,,405.603,4010,18%,,NOS,,C71
