Purchase Order Number,Date,Vendor,Remarks,Due Date,Project,Document Total,Payment Terms Code,Document Currency,Document Rate,Document Status,Canceled,Tax Amount (SC),Inside Sales Owner
2,10-Jan-2018,Divine Engineering,Based On Sales Orders 99999035.,17-Jan-2018,,"4,602.00",50% advance 50% on delivery,Indian Rupee,1,Closed,Yes,702,Sheeba Shaikh
3,29-Mar-2018,SRS Innovative Solutions,,29-Mar-2018,,"1,08,276.80",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"16,516.80",
3300667,01-Jun-2018,Alpha Engineering,,01-Jun-2018,,"2,21,910.33",100% Against Delivery,Indian Rupee,1,Closed,Yes,"33,850.73",Swati Bhosale
3301243,05-Jul-2018,Innovative Design and Manufacturing Solutions,,05-Jul-2018,,"34,047.72",Net-30,Indian Rupee,1,Closed,Yes,"5,193.72",
4400408,02-Jan-2018,Evergreen Sales,,02-Jan-2018,,"36,580.00",Net-30,Indian Rupee,1,Closed,Yes,"5,580.00",
40200011,16-Feb-2018,Raad Systems Inc.,,16-Feb-2018,,"2,06,13,044.04",Net-30,US Dollar,66.67,Closed,Yes,"31,44,362.65",
40200195,14-Mar-2018,Solutions,,14-Mar-2018,,"3,10,393.60",100% Advance,Indian Rupee,1,Closed,Yes,"67,898.60",
40200196,15-Mar-2018,Divine Engineering,,15-Mar-2018,,"18,540.70",Net-30,Indian Rupee,1,Closed,Yes,"2,675.70",
40200305,28-Mar-2018,Precision Mass Products Private Limited,,03-Apr-2018,,"17,900.00",Net-30,Indian Rupee,1,Closed,Yes,0,
40200315,29-May-2018,PinkPepperCorn By Sonal Agrawal,,29-May-2018,,"10,000.00",Net-30,Indian Rupee,1,Closed,Yes,0,suvidha shinde
40210105,20-Apr-2018,Quesst International,,20-Apr-2018,,"3,98,056.48",Net-30,Indian Rupee,1,Closed,Yes,"60,720.48",
40210112,20-Apr-2018,Rotork Controls India Pvt. Ltd.,,20-Apr-2018,,"2,74,560.42",Net-30,Indian Rupee,1,Closed,Yes,"41,882.10",
40210149,30-Apr-2018,Kiron Hydraulic Needs Pvt. Ltd.,,30-Apr-2018,,"78,055.05",Net-30,Indian Rupee,1,Closed,Yes,"14,767.68",
40210162,05-Feb-2018,Realty Automation and Security Systems Pvt. Ltd.,,05-Feb-2018,,"11,800.00",Net-30,Indian Rupee,1,Closed,Yes,"1,800.00",
40210171,05-Mar-2018,Jinharsh Industrial Solutions Pvt. Ltd.,,05-Mar-2018,,"5,879.94",Net-30,Indian Rupee,1,Closed,Yes,896.94,
40210172,05-Apr-2018,Radiant Plastruders (I) Pvt. Ltd.,,05-Apr-2018,,"4,77,998.52",30 Days Credit,Indian Rupee,1,Closed,Yes,"72,915.02",
40210219,14-May-2018,Karcher Cleaning Systems Pvt. Ltd.,Based On Sales Orders 10210200.,21-May-2018,19975,"4,239.36",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,927.36,Swati Bhosale
40210226,14-May-2018,Hindustan Hardware,Based On Sales Orders 11210003.,16-May-2018,19937,"3,811.40",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,581.4,Dipali Ghanvat
40210231,14-May-2018,Honeywell Automation India Ltd,Based On Sales Orders 10200222.,23-Jul-2018,,"24,29,643.60",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"3,70,623.60",Rajani Kyatham
40210250,18-May-2018,EDM Experts Pvt. Ltd.,Based On Sales Orders 10210228.,21-May-2018,20100,"2,596.00",100% Advance,Indian Rupee,1,Closed,Yes,396,Supriya Govalkar
40210263,22-May-2018,Radix Electrosystems Pvt. Ltd.,,03-Jul-2018,19793,"12,272.00",20% Advance and 80% before dispatch,Indian Rupee,1,Closed,Yes,"1,872.00",Neha Mundhe
40210264,23-May-2018,Flexible Automation Systems Pvt. Ltd.,Based On Sales Orders 10210242.,27-Jun-2018,16595,"12,395.52",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"2,711.52",Sarika Tanawade
40210265,23-May-2018,Dynamic Fans Marketing Pvt. Ltd.,Based On Sales Orders 10210242.,23-May-2018,16595,"1,498.60",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,228.6,Sarika Tanawade
40210266,23-May-2018,Max Flow Electric Machinery Co. Ltd.,Based On Sales Orders 10210242.,23-May-2018,16595,"1,366.34",100% Against Delivery,US Dollar,68.3168,Closed,Yes,0,Sarika Tanawade
40210267,23-May-2018,Om Distributiors,Based On Sales Orders 10210247.,25-May-2018,20139,"8,260.00",75% advance 25% on delivery,Indian Rupee,1,Closed,Yes,"1,260.00",Sarika Tanawade
40210268,23-May-2018,Stanley Black and Decker India Pvt. Ltd.,Based On Sales Orders 10210250.,30-May-2018,19892,"2,312.39",30 Days Credit,Indian Rupee,1,Closed,Yes,352.74,Sarika Tanawade
40210293,25-May-2018,Dynamic Fans Marketing Pvt. Ltd.,,26-May-2018,16595,"1,498.60",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,228.6,Sarika Tanawade
40210304,29-May-2018,Bio Technics (Mumbai) Indiaï¾‹?,,18-Jun-2018,20135,"13,717.50",50% Advance and 50% against PI,Indian Rupee,1,Closed,Yes,"2,092.50",Kartik Pai
40210311,30-May-2018,Divine Engineering,Based On Sales Orders 10210276.,04-Jun-2018,20145,"21,771.00",25 days after delivery,Indian Rupee,1,Closed,Yes,"3,321.00",Sajida Sayyed
40210312,30-May-2018,Hilti India Pvt. Ltd.,Based On Sales Orders 10210276.,30-May-2018,20145,"22,532.10",Cheque on delivery,Indian Rupee,1,Closed,Yes,"3,437.10",Sajida Sayyed
40210315,30-May-2018,Laxmi Electrical Dadar,,01-Jun-2018,20706,"20,355.00",50% advance and 50% after delivery,Indian Rupee,1,Closed,Yes,"3,105.00",Sarika Tanawade
40210325,01-Jun-2018,A. T. E. Enterprises Pvt. Ltd.,,01-Jun-2018,,"7,824.82",100% Advance,Indian Rupee,1,Closed,Yes,"1,193.62",Puja Pawar
40210327,01-Jun-2018,Sagar Office Automation,Based On Sales Orders 10210301.,05-Jun-2018,20627,"6,619.80",Net-30,Indian Rupee,1,Closed,Yes,"1,009.80",Supriya Govalkar
40210340,04-Jun-2018,Sarvam Safety Equipment,,18-Jun-2018,,"61,950.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"9,450.00",Swati Bhosale
40210344,04-Jun-2018,Sarvam Safety Equipment,Based On Sales Orders 10210308.,04-Jun-2018,19802,"6,962.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,062.00",Neha Mundhe
40210355,05-Jun-2018,Dynamic Fans Marketing Pvt. Ltd.,,06-Jun-2018,16595,"1,498.60",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,228.6,Sarika Tanawade
40210356,05-Jun-2018,Honeywell Automation India Ltd,Based On Sales Orders 10210110.,05-Jun-2018,,"9,48,491.25",100% advance against proforma invoice,Euro,78.55,Closed,Yes,0,Rehana Mulani
40210358,05-Jun-2018,Union Enterprises Pvt. Ltd.,Based On Sales Orders 10210324.,10-Jul-2018,20067,"1,28,216.44",7 Days PDC,Indian Rupee,1,Closed,Yes,"19,558.44",Poonam Mohite
40210368,06-Jun-2018,R.K. Enterprises,Based On Sales Orders 10210332.,08-Jun-2018,20007,"2,230.20",100% Against Delivery,Indian Rupee,1,Closed,Yes,340.2,Sarika Tanawade
40210396,11-Jun-2018,Amazon.in,Based On Sales Orders 10210335.,13-Jun-2018,18668,"3,490.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,0,Neha Mundhe
40210400,11-Jun-2018,Cole-Parmer India,Based On Sales Orders 10210354.,02-Jul-2018,20158,"33,512.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"5,112.00",Dipali Ghanvat
40210401,11-Jun-2018,Metravi Instruments Pvt. Ltd.,Based On Sales Orders 10210355.,13-Jun-2018,20635,"33,650.65",100% Advance,Indian Rupee,1,Closed,Yes,"5,133.15",Puja Pawar
40210419,12-Jun-2018,Ahuja Electronics,Based On Sales Orders 10210368.,12-Jun-2018,21040,"6,019.32",100% Advance,Indian Rupee,1,Closed,Yes,945.32,Puja Pawar
40210421,13-Jun-2018,Werner Finley Pvt. Ltd,Based On Sales Orders 10210370.,20-Jun-2018,20948,"10,496.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"2,296.00",Swati Bhosale
40210425,13-Jun-2018,Chromatography World,Based On Sales Orders 10210377.,14-Jun-2018,21122,"35,947.52",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"5,483.52",Swati Bhosale
40210427,13-Jun-2018,HaCop Pumps Pvt. Ltd.,Based On Sales Orders 10210378.,14-Jun-2018,20647,"39,816.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"4,266.00",Sajida Sayyed
40210428,13-Jun-2018,Silver Tubes,Based On Sales Orders 10210381.,20-Jun-2018,20965,"3,99,417.02",50% advance with order and balance 50 % before despatch of material,Indian Rupee,1,Closed,Yes,"60,928.02",Puja Pawar
40210440,15-Jun-2018,Add On Safety,Based On Sales Orders 10210383.,18-Jun-2018,21022,"4,425.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,675,Neha Mundhe
40210444,15-Jun-2018,Add On Safety,Based On Sales Orders 10210397.,22-Jun-2018,20493,"16,225.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"2,475.00",Sheeba Shaikh
40210448,16-Jun-2018,Oriental Motor India Pvt. Ltd.,Based On Sales Orders 10210323.,04-Jul-2018,20879,"5,17,211.70",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"78,896.70",Swati Bhosale
40210452,18-Jun-2018,W. W. Grainger Inc.,Based On Sales Orders 10210385.,04-Jul-2018,19839,"4,353.28",Net 30 days from invoice subject to credit,US Dollar,68.02,Closed,Yes,0,Sarika Tanawade
40210462,19-Jun-2018,Soman Associates,Based On Sales Orders 10210407.,14-Aug-2018,20686,"43,943.20",100% Advance,Indian Rupee,1,Closed,Yes,"6,703.20",Kartik Pai
40210469,19-Jun-2018,Kiran Diamond Tools,Based On Sales Orders 10210410.,26-Jun-2018,17432,"1,660.40",30 days after delivery,Indian Rupee,1,Closed,Yes,253.28,Supriya Govalkar
40210476,19-Jun-2018,Unique Enterprises,Based On Sales Orders 10210399.,19-Jun-2018,20029,"1,888.00",cash on delivery,Indian Rupee,1,Closed,Yes,288,Swati Bhosale
40210478,19-Jun-2018,Vitronics (India),Based On Sales Orders 10210410.,25-Jun-2018,17432,"4,531.20",30 days after delivery,Indian Rupee,1,Closed,Yes,691.2,Supriya Govalkar
40210480,19-Jun-2018,Deluxe Electrical Corporation,Based On Sales Orders 10210410.,26-Jun-2018,17432,"3,398.40",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,518.4,Supriya Govalkar
40210481,19-Jun-2018,Adhunik Plastics Ind Pvt. Ltd.,Based On Sales Orders 10210410.,25-Jun-2018,17432,"8,722.56",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,330.56",Supriya Govalkar
40210483,19-Jun-2018,Stanley Black and Decker India Pvt. Ltd.,Based On Sales Orders 10210410.,14-Jul-2018,17432,"1,96,054.49",45 days after delivery,Indian Rupee,1,Closed,Yes,"30,027.64",Supriya Govalkar
40210489,20-Jun-2018,Bosch Ltd.,Based On Sales Orders 10210410.,27-Jun-2018,17432,"8,968.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,368.00",Supriya Govalkar
40210497,21-Jun-2018,Arwani Trading Co.,Based On Sales Orders 10210420.,21-Jun-2018,19940,"44,783.48",100% advance against proforma invoice,US Dollar,68.06,Closed,Yes,0,Sajida Sayyed
40210498,21-Jun-2018,Valisons and Co.,,28-Jun-2018,,"21,185.36",15 Days PDC,Indian Rupee,1,Closed,Yes,"3,231.66",Supriya Govalkar
40210513,22-Jun-2018,Amazon.in,Based On Sales Orders 10210399.,23-Jun-2018,20029,"18,479.84",cash on delivery,Indian Rupee,1,Closed,Yes,"3,241.84",Swati Bhosale
40210514,22-Jun-2018,Vijay Hardwares,Based On Sales Orders 10210410.,29-Jun-2018,17432,"6,198.42",30 Days PDC,Indian Rupee,1,Closed,Yes,945.52,Supriya Govalkar
40210527,26-Jun-2018,Bajrang Enterprises,Based On Sales Orders 10210335.,02-Jul-2018,18668,"20,178.00",100% Advance,Indian Rupee,1,Closed,Yes,"3,078.00",Neha Mundhe
40210531,27-Jun-2018,Kanti Electric and Hardware,Based On Sales Orders 10210446.,29-Jun-2018,21416,"1,345.20",15 Days PDC,Indian Rupee,1,Closed,Yes,205.2,Puja Pawar
40210532,27-Jun-2018,Parag Worldwide Pvt. Ltd.,Based On Sales Orders 10210446.,29-Jun-2018,21416,"2,416.64",15 Days PDC,Indian Rupee,1,Closed,Yes,368.64,Puja Pawar
40210533,27-Jun-2018,Indian Cables and Electricals,Based On Sales Orders 10210442.,28-Jun-2018,19842,"7,221.60",15 days credit,Indian Rupee,1,Closed,Yes,"1,101.60",Sajida Sayyed
40210550,29-Jun-2018,Stanley Black and Decker India Pvt. Ltd.,,05-Jul-2018,20167,"6,428.77",45 days after delivery,Indian Rupee,1,Closed,Yes,980.68,Prit Patel
40210594,04-Jul-2018,J D Electronics,Based On Sales Orders 10210483.,11-Jul-2018,21359,"35,512.00",25% advance 75% on delivery,Indian Rupee,1,Closed,Yes,"7,768.25",Rahul Sonawane
40210600,05-Jul-2018,J D Electronics,Based On Sales Orders 10210488.,12-Jul-2018,20674,"35,000.00",25% advance 75% on delivery,Indian Rupee,1,Closed,Yes,"7,656.25",Rahul Sonawane
40210615,06-Jul-2018,Bharat Trading Company,Based On Sales Orders 10210496.,07-Jul-2018,25007,"1,15,419.20",15 days after delivery,Indian Rupee,1,Closed,Yes,"18,529.20",Dipali Ghanvat
40210621,06-Jul-2018,Srihari Air Conditioners,Based On Sales Orders 10210498.,20-Jul-2018,21469,"64,713.56",100% Advance Along With PO,Indian Rupee,1,Closed,Yes,"9,871.56",Rajani Kyatham
40210633,10-Jul-2018,J D Enterprises,Based On Sales Orders 10210518.,17-Jul-2018,20674,"35,000.00",25% advance 75% on delivery,Indian Rupee,1,Closed,Yes,"7,656.25",Rahul Sonawane
40210634,11-Jul-2018,Agarwal Furniture,Based On Sales Orders 10210514.,18-Jul-2018,21191,"15,635.00",15 days credit,Indian Rupee,1,Closed,Yes,"2,385.00",Puja Pawar
40210639,11-Jul-2018,Engent Graphics Pvt. Ltd.,Based On Sales Orders 10210522.,08-Aug-2018,25216,"35,400.00",7 Days PDC,Indian Rupee,1,Closed,Yes,"5,400.00",Rajani Kyatham
40210640,11-Jul-2018,Engineering Enterprise,Based On Sales Orders 10210522.,08-Aug-2018,25216,"1,534.00",7 Days PDC,Indian Rupee,1,Closed,Yes,234,Rajani Kyatham
40210648,12-Jul-2018,Amazon.in,Based On Sales Orders 10210528.,14-Jul-2018,20064,798.56,cash on delivery,Indian Rupee,1,Closed,Yes,85.56,Supriya Govalkar
40210650,12-Jul-2018,Al Technologies,Based On Sales Orders 10210530.,14-Jul-2018,25360,"18,24,870.00",100% Against Delivery,Indian Rupee,1,Closed,Yes,"2,78,370.00",Rajani Ong
40210653,12-Jul-2018,Al Technologies,Based On Sales Orders 10210531.,14-Jul-2018,25359,"14,87,095.00",100% Against Delivery,Indian Rupee,1,Closed,Yes,"2,26,845.00",Rajani Ong
40210656,12-Jul-2018,Amazon.in,Based On Sales Orders 10210528.,19-Jul-2018,20064,"1,199.00",cash on delivery,Indian Rupee,1,Closed,Yes,182.9,Supriya Govalkar
40210668,13-Jul-2018,Shreenathji Welding And Safety Pvt. Ltd.,Based On Sales Orders 10210537.,14-Jul-2018,25129,"2,385.60",30 Days PDC,Indian Rupee,1,Closed,Yes,255.6,Nisha Patil
40210676,14-Jul-2018,Valisons and Co.,Based On Sales Orders 10210549.,14-Jul-2018,20063,"1,836.32",15 days credit,Indian Rupee,1,Closed,Yes,280.12,Poonam Mohite
40210682,16-Jul-2018,Al Technologies,Based On Sales Orders 10210554.,19-Jul-2018,25359,"14,87,095.00",100% Against Delivery,Indian Rupee,1,Closed,Yes,"2,26,845.00",Rajani Ong
40210683,16-Jul-2018,Al Technologies,Based On Sales Orders 10210555.,19-Jul-2018,25360,"16,95,070.00",100% Against Delivery,Indian Rupee,1,Closed,Yes,"2,58,570.00",Rajani Ong
40210704,18-Jul-2018,Union Enterprises Pvt. Ltd.,Based On Sales Orders 10210570.,28-Jul-2018,25530,"52,959.58",30 Days PDC,Indian Rupee,1,Closed,Yes,"8,078.58",Poonam Mohite
40210710,19-Jul-2018,Jal Jyoti International,Based On Sales Orders 10210577.,08-Aug-2018,25301,"2,973.60",30 Days Credit,Indian Rupee,1,Closed,Yes,453.6,Sandeep Pal
40210736,23-Jul-2018,Indian Institute of Technology Bombay,Based On Sales Orders 10210599.,23-Jul-2018,20612,"90,000.96",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"13,728.96",Neha Mundhe
40210746,24-Jul-2018,Udyogi Plastics Pvt Ltd.,Based On Sales Orders 10210604.,07-Aug-2018,21473,"7,397.50",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,110.00",Sandeep Pal
40210755,24-Jul-2018,Structural Solutions Pvt. Ltd.,Based On Sales Orders 10210609.,04-Sep-2018,25561,"1,67,998.32",100% advance against proforma invoice,US Dollar,68.88,Closed,Yes,0,Swati Bhosale
40210811,31-Jul-2018,Bhairav Chemist,Based On Sales Orders 10210652.,04-Aug-2018,25883,"22,500.00",15 Days PDC,Indian Rupee,1,Closed,Yes,0,Sarika Tanawade
40210845,06-Aug-2018,Konecranes Pvt. Ltd.,Based On Sales Orders 10210669.,05-Sep-2018,25958,"5,41,502.00",7 Days PDC,Indian Rupee,1,Closed,Yes,"82,602.00",Sarika Tanawade
40210847,07-Aug-2018,Amazon.in,Based On Sales Orders 10210691.,14-Aug-2018,25944,"12,990.00",100% Advance,Indian Rupee,1,Closed,Yes,"2,841.56",Husna Khan
40210855,07-Aug-2018,Hasmukh Electric And Hardware Store,Based On Sales Orders 10210679.,11-Aug-2018,25878,"18,526.00",30 Days PDC,Indian Rupee,1,Closed,Yes,"2,826.00",Kartik Pai
40210881,08-Aug-2018,The Bombay Textile Research Association,Based On Sales Orders 10210710.,15-Aug-2018,26062,"1,209.50",100% Advance,Indian Rupee,1,Closed,Yes,184.5,Rajani Kyatham
40210892,09-Aug-2018,Geekays India,Based On Sales Orders 10210705.,15-Aug-2018,25236,0,100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,0,Sheeba Shaikh
40210897,11-Aug-2018,BSB Edge Pvt. Ltd.,Based On Sales Orders 10210720.,27-Aug-2018,25905,"3,313.67",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,157.79,Husna Khan
40210902,11-Aug-2018,Fix Parts Online,Based On Sales Orders 10210718.,01-Sep-2018,21449,"25,110.39",30 Days Credit,Euro,78.92,Closed,Yes,"3,830.40",Husna Khan
40210923,14-Aug-2018,Nocturna Ltd,Based On Sales Orders 10210750.,31-Aug-2018,25723,"33,978.30",100% advance against proforma invoice,British Pound,89.285,Closed,Yes,0,Sheeba Shaikh
40210929,16-Aug-2018,Ingersoll Rand International India Ltd,Based On Sales Orders 10210741.,21-Aug-2018,25247,"89,208.00",50% Advance,Indian Rupee,1,Closed,Yes,"13,608.00",Rajani Kyatham
40210954,18-Aug-2018,Atlas Protective Products,Based On Sales Orders 10210755.,21-Sep-2018,25733,"27,300.00",100% Advance,Indian Rupee,1,Closed,Yes,"1,300.00",Pravin Shinde
40210961,20-Aug-2018,Malti Enterprise,Based On Sales Orders 10210770.,27-Aug-2018,26432,"1,68,114.60",100% After Delivery,Indian Rupee,1,Closed,Yes,"25,644.60",Supriya Govalkar
40210963,20-Aug-2018,Flexibles,Based On Sales Orders 10210765.,20-Sep-2018,25698,"37,070.88",15 Days PDC,Indian Rupee,1,Closed,Yes,"5,654.88",Husna Khan
40210966,21-Aug-2018,Flexibles,Based On Sales Orders 10210766.,20-Sep-2018,26430,"12,023.96",15 days after delivery,Indian Rupee,1,Closed,Yes,"1,834.16",Husna Khan
40210981,23-Aug-2018,Kartik Garments,Based On Sales Orders 10210776.,25-Aug-2018,25879,672,7 Days PDC,Indian Rupee,1,Closed,Yes,32,Husna Khan
40210989,24-Aug-2018,Abhijit Enterprises,Based On Sales Orders 10210794.,25-Aug-2018,25839,"12,980.00",100% Advance,Indian Rupee,1,Closed,Yes,"1,980.00",Pravin Shinde
40210994,24-Aug-2018,Tradelinks Marketing Services,Based On Sales Orders 10210798.,27-Aug-2018,26637,"1,604.80",15 Days PDC,Indian Rupee,1,Closed,Yes,244.8,Poonam Mohite
40210997,24-Aug-2018,Sawalka Kel Pvt. Ltd.,Based On Sales Orders 10210791.,14-Sep-2018,26387,"34,196.40",100% Against PI at the time of delivery,Indian Rupee,1,Closed,Yes,"5,216.40",Swati Bhosale
40211003,27-Aug-2018,Ashwini Enterprises,Based On Sales Orders 10210804.,29-Aug-2018,25978,"1,681.50",100% Against Delivery,Indian Rupee,1,Closed,Yes,256.5,Sarika Tanawade
40211013,28-Aug-2018,Laxmi Electro Controls and Automation,Based On Sales Orders 10210809.,04-Sep-2018,26572,"1,534.00",100% Advance,Indian Rupee,1,Closed,Yes,234,Supriya Govalkar
40211020,28-Aug-2018,Nidhi Enterprises,Based On Sales Orders 10210815.,29-Aug-2018,25824,"1,07,439.00",7 Days PDC,Indian Rupee,1,Closed,Yes,"16,389.00",Pravin Shinde
40211036,29-Aug-2018,Amazon.in,Based On Sales Orders 10210399.,05-Sep-2018,20029,"1,834.90",Cheque on delivery,Indian Rupee,1,Closed,Yes,279.9,Swati Bhosale
40211053,31-Aug-2018,Local,,01-Sep-2018,20983,160,cash on delivery,Indian Rupee,1,Closed,Yes,0,Sheeba Shaikh
40211080,04-Sep-2018,Amazon.in,Based On Sales Orders 10210425.,05-Sep-2018,21297,"1,39,014.24",cash on delivery,Indian Rupee,1,Closed,Yes,0,Swati Bhosale
40211082,04-Sep-2018,Bosch Ltd.,Based On Sales Orders 10210859.,07-Sep-2018,26891,"9,930.88",100% Advance,Indian Rupee,1,Closed,Yes,"1,514.88",Kartik Pai
40211091,05-Sep-2018,Cart2india Online Retail Pvt. Ltd.,Based On Sales Orders 10210862.,12-Sep-2018,26725,"16,489.00",100% Advance,Indian Rupee,1,Closed,Yes,"1,766.68",Supriya Govalkar
40211093,05-Sep-2018,Udyogi Plastics Pvt Ltd.,Based On Sales Orders 10210864.,05-Oct-2018,20836,"15,253.16",100% Advance,Indian Rupee,1,Closed,Yes,"2,326.76",Sarika Tanawade
40211149,12-Sep-2018,Thermo Fisher Scientific India Pvt. Ltd.,Based On Sales Orders 10210900.,14-Nov-2018,26846,"8,997.50",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"1,372.50",Sajida Sayyed
40211153,12-Sep-2018,Shree Siddhanath Automobiles,Based On Sales Orders 10210901.,14-Sep-2018,27126,"4,800.00",100% Advance,Indian Rupee,1,Closed,Yes,0,Pravin Shinde
40211156,12-Sep-2018,Grainger Industrial Supply India Pvt. Ltd.,Based On Sales Orders 10210425.,14-Sep-2018,21297,"36,422.51",45 days after delivery,US Dollar,72.0975,Closed,Yes,"7,489.78",Swati Bhosale
40211170,14-Sep-2018,Bharat Trading Company,Based On Sales Orders 11410013.,15-Sep-2018,26644,"2,03,819.04",15 days after delivery,Indian Rupee,1,Closed,Yes,"31,091.04",Dipali Ghanvat
40211192,17-Sep-2018,Divine Engineering,Based On Sales Orders 10210887.,01-Oct-2018,27123,"18,130.70",30 Days Credit,Indian Rupee,1,Closed,Yes,"2,765.70",Swati Bhosale
40211196,17-Sep-2018,Brosbel Engineering Pvt. Ltd.,Based On Sales Orders 10210921.,19-Sep-2018,27070,"49,686.07",15 Days PDC,Indian Rupee,1,Closed,Yes,"10,589.92",Puja Pawar
40211200,18-Sep-2018,M Bharat and Company,Based On Sales Orders 10210915.,19-Sep-2018,25581,"13,688.00",100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,"2,088.00",Husna Khan
40211211,19-Sep-2018,Festo Controls Pvt. Ltd.,Based On Sales Orders 10210935.,10-Oct-2018,26523,"9,445.90",100% Advance,Indian Rupee,1,Closed,Yes,"1,440.90",Husna Khan
40211220,20-Sep-2018,Festo Controls Pvt. Ltd.,,10-Oct-2018,26523,"9,729.28",100% Advance,Indian Rupee,1,Closed,Yes,"1,484.13",Husna Khan
40211246,22-Sep-2018,Jai Durga Packers,Based On Sales Orders 10210959.,29-Sep-2018,27429,"39,825.00",15 DAYS NEFT,Indian Rupee,1,Closed,Yes,"6,075.00",Rajani Kyatham
40211247,24-Sep-2018,Taneja Paints and Hardware Store,Based On Sales Orders 10210425.,25-Sep-2018,21297,"12,250.53",100% After Delivery,Indian Rupee,1,Closed,Yes,"1,868.73",Swati Bhosale
