company,sku,name,bp_catalog_sku
Henkel Adhesive Technologies India Pvt. Ltd.,BM9C5M1,*PLASTIC  CAP FOR 30 LIT CARBOYS,1706200
Henkel Adhesive Technologies India Pvt. Ltd.,BM9D3V6,*SURGICAL HANDGLOVES,1705717
Henkel Adhesive Technologies India Pvt. Ltd.,BM9P8D8,PACO_PE_2l    *Crate box w/ Lid,2329442
Henkel Adhesive Technologies India Pvt. Ltd.,BM9Y8U9,PACO_PE_2l    *Crate box w/ Lid,2329442
Henkel Adhesive Technologies India Pvt. Ltd.,BM9S1G7,*PLASTIC ACTIVATOR BRUSH,1706568
Henkel Adhesive Technologies India Pvt. Ltd.,BM9Z4A7,*BRUSH WITH PLASTIC HANDLE FOR EPOXY,1706575
Henkel Adhesive Technologies India Pvt. Ltd.,BM9P7B6,*PLASTIC PAIL 30 LTR CONTAINER,1826641
Henkel Adhesive Technologies India Pvt. Ltd.,BM9R8X1,*LOCTITE - NITRIL RUBBER CORD-8.4MM,1706179
Henkel Adhesive Technologies India Pvt. Ltd.,BM9Y8M6,LOCTITE - NITRIL RUBBER CORD-6.4MM,1706178
Henkel Adhesive Technologies India Pvt. Ltd.,BM9Z8G3,*LOCTITE - NITRIL RUBBER CORD-4.8MM,1706176
Henkel Adhesive Technologies India Pvt. Ltd.,BM9Y5U6,*LOCTITE - NITRIL RUBBER CORD- 3.2MM,1706175
Henkel Adhesive Technologies India Pvt. Ltd.,BM9W3S5,*20 L  BUCKET WTH SPOUT FOR NATURAL BLUE,1712404
Henkel Adhesive Technologies India Pvt. Ltd.,BM9R1P5,*4 Ltr PP container for single part epox,1712405
Henkel Adhesive Technologies India Pvt. Ltd.,BM9P7M1,*5 ltr. Jerry can wt  250 gm. in Natural,1706579
Henkel Adhesive Technologies India Pvt. Ltd.,BM9P7M9,JAR_PE        *20 Ltr. HM-HDPE container,1712398
Henkel Adhesive Technologies India Pvt. Ltd.,BM9P7N1,*PLASTIC CARBOY-30 LITERS - WITHOUT CAP,1706564
Henkel Adhesive Technologies India Pvt. Ltd.,BM9S4G5,*20 LTR WHITE CONTAINER <BUCKET> DRI LOC,1706569
Henkel Adhesive Technologies India Pvt. Ltd.,BM9Z6F3,10 LTR WHITE CONTAINER < BUCKET> 516,1712395
Henkel Adhesive Technologies India Pvt. Ltd.,BM9R1F9,*5.5 LTR WHITE CONTAINERS < BUCKET>,1712396
Henkel Adhesive Technologies India Pvt. Ltd.,BM9Q1Z7,*CAN-M_TIN-PLT *1L DOUBLE TIGHT TINS W/L,1712401
Henkel Adhesive Technologies India Pvt. Ltd.,BM9Q2B8,*CAN-M_TIN-PLT *4 KGS TINS  WITH  LIDS,1712399
Henkel Adhesive Technologies India Pvt. Ltd.,BM9U6V6,*20 LTR FULL OPEN TOP DRUM < SMOKE GREY,1712400
Henkel Adhesive Technologies India Pvt. Ltd.,BM9T9A3,*MS Drum 10 Ltr with 2 bung,1705783
Henkel Adhesive Technologies India Pvt. Ltd.,BM9Q3J6,*10L OH Laquer coated metal drum,2066964
Henkel Adhesive Technologies India Pvt. Ltd.,BM9G7I5,20L Conic Pails With standard covr (0.38,1712417
Henkel Adhesive Technologies India Pvt. Ltd.,BM9D2A6,*5 Ltr MS Cont.with plastic handle 55 NC,1712412
Henkel Adhesive Technologies India Pvt. Ltd.,BM9X8L4,LOCTITE - NITRIL RUBBER CORD-1.6MM,1706173
Henkel Adhesive Technologies India Pvt. Ltd.,BM9M5K0,*20 Ltrs Milkywhite Square Stackable Jer,1712415
Henkel Adhesive Technologies India Pvt. Ltd.,BM9Z6K8,EA 102 50l,2372723
Henkel Adhesive Technologies India Pvt. Ltd.,BM9P6M1,*LOCTITE - PLASTICS O RING KIT BOX,1712423